Warken	N
Niederfeulen	N
Oberfeulen	N
Bigelbach	N
Hoesdorf	N
Reisdorf	N
Wallendorf-Pont	N
Birtrange	N
Schieren	N
Niederschieren	N
Oberschieren	N
Eppeldorf	N
Ermsdorf	N
Folkendange	N
Keiwelbach	N
Medernach	N
Savelborn	N
Stegen	N
Putscheid	N
Bivels	N
Gralingen	N
Merscheid	N
Nachtmanderscheid	N
Stolzembourg	N
Weiler	N
Bastendorf	N
Bettel	N
Brandenbourg	N
Fouhren	N
Hoscheidterhof	N
Këppenhaff	N
Landscheid	N
Longsdorf	N
Tandel	N
Walsdorf	N
Vianden	N
Baschleiden	N
Boulaide	N
Surré	N
Bonnal	N
Eschdorf	N
Esch-sur-Sûre	N
Heiderscheid	N
Heiderscheidergrund	N
Insenborn	N
Lultzhausen	N
Neunhausen	N
Ringel	N
Tadler	N
Bockholtz	N
Buderscheid	N
Dahl	N
Goesdorf	N
Masseler	N
Nocher	N
Alscheid	N
Enscherange	N
Kautenbach	N
Lellingen	N
Merkholtz	N
Pintsch	N
Wilwerwiltz	N
Bavigne	N
Harlange	N
Kaundorf	N
Liefrange	N
Mecher	N
Nothum	N
Tarchamps	N
Watrange	N
Knaphoscheid	N
Roullingen	N
Selscheid	N
Weidingen	N
Wiltz	N
Berlé	N
Doncols	N
Grummelscheid	N
Noertrange	N
Pommerloch	N
Sonlez	N
Winseler	N
Clervaux	N
Drauffelt	N
Eselborn	N
Grindhausen	N
Heinerscheid	N
Hupperdange	N
Kalborn	N
Lieler	N
Marnach	N
Munshausen	N
Reuler	N
Roder	N
Siebenaler	N
Urspelt	N
Weicherdange	N
Consthum	N
Dorscheid	N
Holzthum	N
Hoscheid	N
Hosingen	N
Neidhausen	N
Rodershausen	N
Untereisenbach	N
Wahlhausen	N
Basbellain	N
Biwisch	N
Drinklange	N
Goedange	N
Hautbellain	N
Huldange	N
Troisvierges	N
Wilwerdange	N
Beiler	N
Binsfeld	N
Breidfeld	N
Holler	N
Leithum	N
Weiswampach	N
Allerborn	N
Asselborn	N
Boevange	N
Boxhorn	N
Brachtenbach	N
Deiffelt	N
Derenbach	N
Doennange	N
Hachiville	N
Hamiville	N
Hoffelt	N
Lentzweiler	N
Lullange	N
Niederwampach	N
Oberwampach	N
Rumlange	N
Sassel	N
Schimpach	N
Stockem	N
Troine	N
Wincrange	N
Eisenbach	N
Belval	S
Colmar-Berg	N
Redange-sur-Attert	N
